"restaurant2","score_food2","score_decor2","score_service2","cost2"
"Bouley","29","28","28","$132"
"Gotham Bar & Grill","28","27","27","$86"
"St. Anselm","28","20","21","$51"
"Chef's Table at Brooklyn Fare","28","22","27","$321"
"Peter Luger Steak House","28","16","21","$87"
"Annisa","28","23","27","$94"
"Graffiti","28","23","25","$48"
"Chuko Ramen","27","19","22","$26"
"The Grocery","27","18","25","$86"
"Takashi","27","20","24","$78"
"Ushiwakamaru","27","18","24","$100"
"Momofuku Ko","27","19","25","$156"
"Paulie Gee's","27","21","23","$29"
"Nobu","27","23","24","$93"
"Battersby","27","18","25","$75"
"Zenkichi","27","27","26","$68"
"Sushi Nakazawa","27","23","26","$196"
"Narcissa","27","25","24","$81"
"Lucali","27","20","21","$29"
"Mas (farmhouse)","27","24","26","$103"
"Tanoreen","27","20","24","$42"
"The Little Owl","27","21","24","$62"
"Jungsik","27","26","27","$136"
"Pearl Oyster Bar","27","15","21","$53"
"Aquagrill","27","20","23","$65"
"Dover","27","19","25","$82"
"La Vara","26","22","25","$55"
"Tamarind Tribeca","26","26","25","$69"
"Kyo Ya","26","22","23","$115"
"Taverna Kyclades","26","13","19","$38"
"Louro","26","23","26","$62"
"Piora","26","23","25","$103"
"Soto","26","19","20","$104"
"Barbuto","26","19","22","$55"
"Blue Hill","26","23","26","$94"
"Scalini Fedeli","26","24","26","$100"
"Degustation","26","19","24","$90"
"The Musket Room","26","24","25","$83"
"River Café","26","27","26","$103"
"Al di la Trattoria","26","19","23","$53"
"Mehtaphor","26","25","25","$59"
"Babbo Ristorante","26","23","24","$94"
"Juliana's Pizza","26","20","22","$26"
"Totonno's Pizza Napolitana","26","13","16","$21"
"Roberta's","26","18","20","$38"
"Atera","26","24","26","$228"
"Brushstroke","26","25","26","$161"
"Sushi of Gari","26","16","22","$96"
"Perry St","26","25","24","$71"
"Il Buco","26","23","24","$66"
"L'Artusi","26","23","24","$71"
"Mighty Quinn's Barbeque","26","14","17","$26"
"Convivium Osteria","26","24","23","$61"
"Traif","26","19","22","$50"
"Pylos","26","23","23","$54"
"Fette Sau","26","15","15","$32"
"Caracas Arepa Bar","26","17","20","$21"
"Rose Water","25","19","23","$51"
"Momofuku ssäm bar","25","18","21","$53"
"Hearth","25","20","24","$71"
"Robataya","25","23","22","$67"
"Neta","25","19","24","$137"
"Charlie Bird","25","22","23","$71"
"I Sodi","25","18","22","$66"
"Rucola","25","22","23","$47"
"Tuscany Grill","25","20","22","$47"
"Uncle Boons","25","18","21","$54"
"TALDE","25","21","22","$49"
"Pepolino","25","18","23","$67"
"Marc Forgione","25","23","23","$83"
"RedFarm","25","18","21","$54"
"Piccolo Angolo","25","14","22","$50"
"Estela","25","19","21","$63"
"Dell'anima","25","19","22","$64"
"Mary's Fish Camp","25","16","20","$52"
"Osteria Morini","25","19","22","$60"
"David Burke Kitchen","25","23","23","$69"
"Peasant","25","22","22","$69"
"Palma","25","24","23","$63"
"Il Mulino ","25","19","23","$88"
"BONDST","25","22","21","$79"
"Blue Ribbon Sushi","25","19","22","$73"
"Taïm","25","11","17","$15"
"Lavagna","25","18","21","$49"
"Pó","25","16","22","$58"
"Wolfgang's Steakhouse","25","20","22","$90"
"The Elm","25","23","24","$91"
"Buttermilk Channel","25","20","22","$47"
"Katz's Delicatessen","25","11","14","$26"
"Alta","25","23","20","$62"
"Rubirosa Pizza","25","18","21","$41"
"Ippudo","25","19","19","$32"
"Franny's","25","18","20","$45"
"Mesa Coyoacan","25","22","24","$36"
"Public","25","25","24","$74"
"Perla","25","21","23","$68"
"EN Japanese Brasserie","25","25","23","$80"
"Wallsé","25","22","24","$88"
"Di Fara Pizza","25","4","9","$19"
"Locanda Vini & Olii","25","24","22","$56"
