"restaurant","score_food","score_decor","score_service","cost"
"Le Bernardin","29","28","29","$162"
"Bouley","29","28","28","$132"
"Jean-Georges","28","28","28","$166"
"Gotham Bar & Grill","28","27","27","$86"
"Eleven Madison Park","28","28","28","$220"
"Daniel","28","28","28","$167"
"Sushi Yasuda","28","23","25","$102"
"Gramercy Tavern","28","26","27","$96"
"Peter Luger Steak House","28","16","21","$87"
"La Grenouille","28","28","28","$126"
"Annisa","28","23","27","$94"
"Sea Fire Grill","28","26","27","$83"
"Per Se","27","28","28","$341"
"Marea","27","26","26","$117"
"Benjamin Steakhouse","27","25","26","$88"
"Tocqueville","27","26","27","$95"
"Nobu","27","23","24","$93"
"Union Square Cafe","27","23","26","$76"
"Mas (farmhouse)","27","24","26","$103"
"Nougatine At Jean-Georges","27","23","25","$71"
"The Little Owl","27","21","24","$62"
"Pearl Oyster Bar","27","15","21","$53"
"Estiatorio Milos","27","23","24","$93"
"Dovetail","27","24","24","$93"
"Aquagrill","27","20","23","$65"
"Trattoria L'incontro","26","20","25","$61"
"Cafe Boulud","26","24","26","$86"
"Tamarind Tribeca","26","26","25","$69"
"Del Posto","26","27","27","$128"
"Taverna Kyclades","26","13","19","$38"
"Barbuto","26","19","22","$55"
"Blue Hill","26","23","26","$94"
"Scalini Fedeli","26","24","26","$100"
"Keens Steakhouse","26","24","24","$81"
"Colicchio & Sons","26","26","26","$78"
"Craft","26","24","26","$87"
"Telepan","26","22","25","$76"
"River Café","26","27","26","$150"
"Four Seasons","26","28","27","$114"
"Morimoto","26","26","24","$100"
"Al di la Trattoria","26","19","23","$53"
"Picholine","26","25","26","$112"
"Babbo Ristorante","26","23","24","$94"
"Aquavit","26","25","26","$86"
"Brushstroke","26","25","26","$161"
"Sushi of Gari","26","16","22","$96"
"Porter House New York","26","25","24","$84"
"Aureole ","26","25","25","$88"
"ilili Restaurant","26","23","23","$59"
"Perry St","26","25","24","$71"
"Ai Fiori","26","25","25","$93"
"Il Buco ","26","23","24","$66"
"L'Artusi","26","23","24","$71"
"Mighty Quinn's Barbeque","26","14","17","$26"
"Asiate","26","28","26","$96"
"The Modern","26","26","25","$127"
"Quality Meats","26","24","24","$81"
"The NoMad Restaurant","26","26","24","$88"
"Caracas Arepa Bar","26","17","20","$21"
"15 East Restaurant","26","22","24","$102"
"ABC Kitchen","25","24","23","$63"
"Momofuku ssäm bar","25","18","21","$53"
"Hearth","25","20","24","$71"
"Scarpetta","25","22","23","$86"
"Maialino","25","23","24","$68"
"SD26","25","24","24","$75"
"Maloney & Porcelli","25","22","24","$77"
"Felidia","25","21","23","$84"
"Sparks Steak House","25","21","23","$93"
"RedFarm","25","18","21","$54"
"Osteria Morini","25","19","22","$60"
"Boulud Sud","25","23","24","$76"
"Avra Estiatorio","25","22","21","$67"
"Totto Ramen","25","11","16","$21"
"David Burke Kitchen","25","23","23","$69"
"BLT Prime","25","22","24","$91"
"Il Mulino","25","19","23","$88"
"Old Homestead Steak House","25","19","22","$84"
"Taïm","25","11","17","$15"
"Wolfgang’s Steakhouse","25","20","22","$90"
"Buddakan","25","27","23","$78"
"Buttermilk Channel","25","20","22","$47"
"Katz's Delicatessen","25","11","14","$26"
"Smith & Wollensky","25","20","22","$80"
"Park Side","25","20","23","$53"
"Alta","25","23","20","$62"
"Ippudo ","25","19","19","$32"
"Esca","25","20","22","$83"
"Lincoln Ristorante","25","26","25","$84"
"Del Frisco's Steakhouse","25","23","23","$83"
"Betony","25","24","24","$92"
"EN Japanese Brasserie","25","25","23","$80"
"Riverpark","25","26","25","$65"
"BLT Fish Shack","25","21","23","$67"
"Di Fara Pizza","25","4","9","$19"
"Oceana","25","23","23","$77"
"Blue Ribbon Sushi Bar & Grill","25","21","22","$74"
"Strip House","25","22","23","$89"
"Ruth's Chris Steak House","25","21","24","$75"
"The Palm Restaurant","25","20","23","$78"
